Time, Position, Rotation
08:47:37:48,(1.668. 1.099. 2.055),(0.022. 0.905. 0.076. 0.419)
08:47:38:481,(1.435. 1.324. 2.049),(0.053. 0.824. -0.247. 0.507)
08:47:39:486,(1.258. 1.251. 2.014),(-0.322. 0.700. 0.189. 0.609)
08:47:40:492,(1.290. 1.172. 2.051),(-0.096. 0.678. 0.071. 0.726)
08:47:41:497,(1.250. 1.139. 2.055),(0.066. 0.648. -0.077. 0.755)
08:47:42:502,(1.179. 1.070. 2.062),(0.253. 0.590. -0.222. 0.734)
08:47:43:507,(1.020. 1.089. 2.018),(0.256. 0.523. -0.169. 0.795)
08:47:44:513,(0.909. 1.121. 1.907),(0.185. 0.485. -0.109. 0.848)
08:47:45:517,(0.867. 1.193. 1.869),(-0.107. -0.213. 0.047. 0.970)
08:47:46:523,(0.820. 1.179. 1.896),(-0.079. -0.058. 0.004. 0.995)
08:47:47:528,(0.744. 1.142. 1.879),(0.013. -0.080. 0.036. 0.996)
08:47:48:535,(0.739. 1.141. 1.962),(0.025. -0.005. -0.001. 1.000)
08:47:49:538,(0.715. 1.151. 1.950),(-0.020. 0.000. 0.025. 0.999)
08:47:50:543,(0.722. 1.197. 1.927),(-0.315. -0.044. 0.013. 0.948)
08:47:51:549,(0.756. 1.188. 1.937),(-0.316. -0.136. -0.017. 0.939)
08:47:52:557,(0.678. 1.194. 1.954),(-0.352. -0.116. 0.002. 0.929)
08:47:53:562,(0.535. 1.188. 1.963),(-0.353. -0.039. 0.031. 0.934)
08:47:54:565,(0.396. 1.180. 1.946),(-0.365. -0.084. 0.119. 0.919)
08:47:55:57,(0.498. 1.190. 1.974),(-0.374. -0.062. 0.020. 0.925)
08:47:56:579,(0.516. 1.184. 1.976),(-0.374. -0.032. 0.023. 0.927)
08:47:57:584,(0.539. 1.174. 1.972),(-0.326. -0.007. 0.033. 0.945)
08:47:58:588,(0.527. 1.180. 1.977),(-0.341. -0.044. 0.005. 0.939)
08:47:59:598,(0.503. 1.176. 1.984),(-0.352. 0.015. 0.008. 0.936)
08:48:00:598,(0.496. 1.179. 1.986),(-0.351. -0.019. 0.029. 0.936)
08:48:01:604,(0.555. 1.178. 1.998),(-0.347. -0.046. 0.039. 0.936)
08:48:02:609,(0.531. 1.176. 1.910),(-0.348. -0.032. 0.020. 0.937)
08:48:03:614,(0.432. 1.175. 1.751),(-0.321. 0.018. 0.047. 0.946)
08:48:04:62,(0.401. 1.130. 1.671),(-0.048. 0.060. 0.042. 0.996)
08:48:05:625,(0.394. 1.170. 1.693),(-0.346. -0.017. 0.014. 0.938)
08:48:06:63,(0.497. 1.174. 1.913),(-0.346. -0.017. 0.011. 0.938)
08:48:07:636,(0.565. 1.171. 1.902),(-0.306. -0.032. 0.016. 0.951)
08:48:08:641,(0.663. 1.164. 1.730),(-0.292. -0.081. 0.020. 0.953)
08:48:09:646,(0.704. 1.167. 1.663),(-0.314. -0.109. 0.017. 0.943)
08:48:10:652,(0.616. 1.176. 1.831),(-0.369. -0.056. 0.002. 0.928)
08:48:11:66,(0.478. 1.173. 1.965),(-0.340. 0.003. 0.078. 0.937)
08:48:12:666,(0.518. 1.168. 1.821),(-0.307. -0.056. 0.030. 0.949)
08:48:13:668,(0.458. 1.168. 1.609),(-0.294. 0.004. 0.073. 0.953)
08:48:14:673,(0.440. 1.169. 1.521),(-0.311. 0.003. 0.058. 0.949)
08:48:15:678,(0.469. 1.174. 1.671),(-0.362. -0.025. 0.044. 0.931)
08:48:16:684,(0.521. 1.176. 1.838),(-0.374. -0.048. 0.031. 0.926)
08:48:17:689,(0.515. 1.168. 1.847),(-0.337. -0.013. 0.020. 0.941)
08:48:18:694,(0.507. 1.165. 1.861),(-0.318. 0.011. -0.010. 0.948)
08:48:19:7,(0.519. 1.169. 1.843),(-0.350. -0.043. 0.019. 0.936)
08:48:20:706,(0.528. 1.173. 1.805),(-0.385. -0.063. 0.003. 0.921)
08:48:21:711,(0.499. 1.169. 1.613),(-0.316. -0.021. 0.029. 0.948)
08:48:22:716,(0.530. 1.159. 1.518),(-0.209. 0.234. 0.062. 0.947)
08:48:23:724,(0.523. 1.142. 1.556),(-0.067. 0.884. 0.026. 0.463)
