Time, Position, Rotation
08:58:09:335,(2.176. 0.847. 1.967),(-0.076. 0.435. 0.042. 0.896)
08:58:10:338,(2.077. 0.974. 1.934),(-0.059. 0.686. 0.124. 0.715)
08:58:11:344,(2.148. 1.025. 1.858),(0.015. 0.857. -0.048. 0.512)
08:58:12:349,(1.954. 1.264. 1.799),(-0.001. 0.679. -0.063. 0.732)
08:58:13:354,(1.892. 1.158. 1.851),(-0.091. 0.430. 0.042. 0.897)
08:58:14:36,(1.842. 1.114. 1.838),(0.056. 0.066. -0.029. 0.996)
08:58:15:365,(1.886. 1.112. 1.901),(0.158. 0.250. -0.049. 0.954)
08:58:16:371,(1.948. 1.123. 1.996),(0.243. 0.287. -0.019. 0.926)
08:58:17:377,(1.908. 1.120. 1.976),(0.211. 0.263. -0.008. 0.941)
08:58:18:382,(1.888. 1.117. 1.978),(0.208. 0.242. -0.012. 0.948)
08:58:19:387,(1.902. 1.105. 1.990),(0.234. 0.288. -0.005. 0.928)
08:58:28:333,(1.880. 1.112. 1.974),(0.194. 0.186. -0.002. 0.963)
08:58:29:339,(1.873. 1.117. 1.972),(0.185. 0.185. 0.047. 0.964)
08:58:30:346,(1.797. 1.143. 1.937),(0.047. -0.055. 0.103. 0.992)
08:58:31:35,(1.846. 1.100. 1.689),(-0.041. -0.196. 0.067. 0.977)
08:58:32:356,(1.843. 1.060. 1.651),(0.031. -0.253. 0.099. 0.962)
08:58:33:362,(1.817. 1.037. 1.659),(0.136. -0.296. 0.142. 0.935)
08:58:34:366,(1.820. 1.036. 1.659),(0.137. -0.295. 0.132. 0.936)
08:58:35:375,(1.823. 1.040. 1.658),(0.122. -0.295. 0.127. 0.939)
08:58:36:38,(1.840. 1.065. 1.650),(0.015. -0.238. 0.106. 0.965)
08:58:37:383,(1.842. 1.084. 1.625),(-0.099. -0.300. 0.055. 0.947)
08:58:38:387,(1.840. 1.081. 1.631),(-0.074. -0.311. 0.056. 0.946)
08:58:39:396,(1.838. 1.078. 1.632),(-0.063. -0.314. 0.061. 0.945)
08:58:40:402,(1.836. 1.078. 1.630),(-0.064. -0.316. 0.069. 0.944)
08:58:41:404,(1.836. 1.077. 1.629),(-0.063. -0.314. 0.073. 0.945)
08:58:42:414,(1.838. 1.078. 1.630),(-0.064. -0.308. 0.070. 0.947)
08:58:43:418,(1.839. 1.078. 1.628),(-0.066. -0.308. 0.066. 0.947)
08:58:44:421,(1.857. 1.089. 1.617),(-0.138. -0.297. 0.037. 0.944)
08:58:45:426,(1.861. 1.096. 1.613),(-0.191. -0.263. 0.038. 0.945)
08:58:46:431,(1.933. 1.074. 1.729),(0.044. 0.070. -0.028. 0.996)
08:58:47:436,(1.967. 1.068. 1.854),(0.187. 0.279. -0.043. 0.941)
08:58:48:441,(1.922. 1.069. 1.820),(0.191. 0.175. 0.020. 0.966)
08:58:49:447,(1.864. 1.084. 1.635),(-0.110. -0.198. 0.016. 0.974)
08:58:50:452,(1.829. 1.067. 1.643),(-0.029. -0.311. 0.038. 0.949)
08:58:51:461,(1.825. 1.054. 1.654),(0.044. -0.318. 0.059. 0.945)
08:58:52:462,(1.821. 1.052. 1.656),(0.056. -0.318. 0.066. 0.944)
08:58:53:468,(1.820. 1.050. 1.657),(0.067. -0.326. 0.066. 0.941)
08:58:54:476,(1.825. 1.051. 1.660),(0.067. -0.310. 0.057. 0.947)
08:58:55:479,(1.856. 1.044. 1.669),(0.111. -0.150. 0.080. 0.979)
08:58:56:484,(1.838. 1.061. 1.659),(0.014. -0.265. 0.045. 0.963)
08:58:57:49,(1.846. 1.075. 1.653),(-0.051. -0.234. 0.032. 0.970)
08:58:58:498,(1.847. 1.082. 1.644),(-0.094. -0.235. 0.036. 0.967)
08:58:59:504,(1.842. 1.099. 1.613),(-0.212. -0.276. 0.035. 0.937)
08:59:00:506,(1.916. 1.091. 1.641),(-0.186. -0.174. -0.117. 0.960)
08:59:01:511,(1.909. 1.089. 1.628),(-0.179. -0.194. -0.118. 0.957)
08:59:02:519,(1.835. 1.092. 1.591),(-0.213. -0.320. 0.063. 0.921)
08:59:03:523,(1.839. 1.100. 1.606),(-0.219. -0.256. 0.030. 0.941)
08:59:04:527,(1.857. 1.087. 1.627),(-0.129. -0.241. 0.005. 0.962)
08:59:05:533,(1.863. 1.082. 1.647),(-0.075. -0.227. -0.026. 0.971)
08:59:06:537,(1.847. 1.072. 1.654),(-0.021. -0.263. 0.013. 0.964)
08:59:07:542,(1.819. 1.046. 1.669),(0.100. -0.314. 0.050. 0.943)
08:59:08:548,(1.813. 1.040. 1.673),(0.127. -0.318. 0.055. 0.938)
08:59:09:553,(1.811. 1.064. 1.651),(0.000. -0.338. 0.074. 0.938)
08:59:10:559,(1.831. 1.074. 1.649),(-0.041. -0.305. 0.029. 0.951)
08:59:11:564,(1.841. 1.089. 1.629),(-0.126. -0.276. 0.018. 0.953)
08:59:12:57,(1.835. 1.094. 1.618),(-0.171. -0.279. 0.029. 0.945)
08:59:13:578,(1.840. 1.096. 1.614),(-0.191. -0.276. 0.022. 0.942)
